image_name,main_subject,confidence,detected_objects
2014-12-04_16-06-03_UTC.jpg,marimba,0.53,
2015-03-13_17-34-02_UTC.jpg,traffic light,0.86,
2015-05-01_00-22-21_UTC.jpg,traffic light,0.37,
2018-08-21_22-06-03_UTC.jpg,power drill,0.58,
2018-11-18_04-06-44_UTC.jpg,web site,0.26,
2014-11-08_23-55-59_UTC.jpg,oscilloscope,0.22,
2018-04-08_17-18-00_UTC.jpg,sandal,0.12,
2014-11-07_03-48-11_UTC.jpg,traffic light,0.21,
2014-11-28_23-37-31_UTC.jpg,planetarium,0.50,
2019-01-27_16-27-00_UTC_1.jpg,hand-held computer,0.96,
2014-11-14_00-33-14_UTC.jpg,traffic light,0.40,
2015-01-08_22-16-12_UTC.jpg,marimba,0.85,
2018-07-12_02-33-42_UTC.jpg,whistle,0.75,
2023-11-13_17-59-32_UTC_5.jpg,dome,0.39,
2018-03-09_17-20-18_UTC.jpg,ski,0.74,
2018-07-24_01-16-20_UTC.jpg,paper towel,0.50,
2023-10-21_02-39-07_UTC_1.jpg,power drill,0.58,
2015-09-14_22-05-42_UTC.jpg,marimba,0.15,
2017-12-19_23-57-49_UTC_3.jpg,traffic light,0.80,
2018-07-01_04-17-49_UTC.jpg,shovel,0.86,
2015-02-20_02-42-37_UTC.jpg,traffic light,0.50,
2016-01-17_05-19-47_UTC.jpg,web site,0.18,
2016-06-28_01-59-52_UTC.jpg,traffic light,0.31,
2015-10-09_20-55-59_UTC.jpg,police van,0.26,
2015-01-21_00-22-23_UTC.jpg,trailer truck,0.09,
2017-12-19_23-57-49_UTC_2.jpg,hook,0.33,
2019-11-25_01-18-54_UTC.jpg,power drill,0.64,
2015-06-26_03-46-22_UTC.jpg,trailer truck,0.73,
2023-11-13_17-59-32_UTC_4.jpg,dome,0.11,
2018-03-02_18-48-14_UTC.jpg,whistle,0.39,
2018-10-07_00-22-57_UTC.jpg,traffic light,0.39,
2014-12-05_20-33-49_UTC.jpg,hand-held computer,0.16,
2015-02-27_03-55-33_UTC.jpg,marimba,0.55,
2014-05-28_18-55-55_UTC.jpg,wombat,0.11,
2015-07-30_15-00-33_UTC.jpg,hand-held computer,0.19,
2024-11-21_01-44-49_UTC.jpg,traffic light,0.23,
2015-05-18_20-49-22_UTC.jpg,traffic light,0.49,
2018-09-03_16-36-52_UTC.jpg,hand-held computer,0.33,
2018-08-26_03-01-03_UTC.jpg,shower cap,0.34,
2015-12-12_22-51-06_UTC.jpg,police van,0.24,
2015-01-19_22-48-50_UTC.jpg,trailer truck,0.13,
2014-07-10_20-02-08_UTC.jpg,web site,0.19,
2018-11-20_00-55-46_UTC.jpg,traffic light,0.17,
2015-07-21_02-59-08_UTC.jpg,rotisserie,0.14,
2015-02-06_00-43-29_UTC.jpg,marimba,0.52,
2015-07-03_01-57-11_UTC.jpg,bullet train,0.17,
2015-03-12_00-29-28_UTC.jpg,traffic light,0.24,
2016-03-23_20-44-29_UTC.jpg,traffic light,0.68,
2014-12-04_02-55-06_UTC.jpg,vault,0.32,
2015-01-31_22-03-19_UTC.jpg,marimba,0.51,
2014-02-04_00-59-28_UTC.jpg,wallet,0.23,
2015-06-01_00-55-00_UTC.jpg,ski,0.21,
2023-10-14_00-51-42_UTC.jpg,shower cap,0.30,
2014-12-06_04-11-15_UTC.jpg,traffic light,0.10,
2019-09-25_22-25-08_UTC.jpg,vacuum,0.28,
2019-01-27_16-27-00_UTC_2.jpg,power drill,0.44,
2015-04-15_22-32-28_UTC.jpg,traffic light,0.49,
2015-08-10_04-14-45_UTC.jpg,oxygen mask,0.31,
2018-01-13_19-42-55_UTC_5.jpg,whistle,0.24,
2018-08-27_22-10-53_UTC.jpg,shower cap,0.17,
2023-10-21_02-39-07_UTC_2.jpg,trailer truck,0.09,
2015-06-09_20-55-52_UTC.jpg,mosque,0.16,
2014-12-17_22-48-31_UTC.jpg,trailer truck,0.13,
2023-10-29_22-23-14_UTC_5.jpg,power drill,0.28,
2016-05-18_04-22-00_UTC.jpg,rotisserie,0.11,
2014-07-29_22-10-33_UTC.jpg,paintbrush,0.20,
2014-06-02_03-11-53_UTC.jpg,planetarium,0.20,
2018-08-08_01-05-27_UTC.jpg,brass,0.05,
2016-04-29_17-52-40_UTC.jpg,traffic light,0.25,
2014-07-15_03-26-25_UTC.jpg,horse cart,0.06,
2014-12-17_23-02-53_UTC.jpg,marimba,0.50,
2017-12-19_23-57-49_UTC_1.jpg,traffic light,0.56,
2023-10-29_22-23-14_UTC_4.jpg,power drill,0.56,
2025-01-18_17-13-42_UTC.jpg,traffic light,0.48,
2015-07-23_21-01-51_UTC.jpg,trailer truck,0.26,
2023-10-21_02-39-07_UTC_3.jpg,shower cap,0.45,
2015-05-17_04-11-53_UTC.jpg,traffic light,0.67,
2014-11-05_23-22-51_UTC.jpg,marimba,0.18,
2014-12-03_03-22-45_UTC.jpg,shovel,0.74,
2018-03-05_23-20-53_UTC.jpg,stethoscope,0.21,
2015-10-13_01-37-01_UTC.jpg,power drill,0.85,
2017-12-07_20-25-26_UTC.jpg,traffic light,0.19,
2019-01-23_21-17-32_UTC.jpg,china cabinet,0.15,
2014-11-08_04-47-02_UTC.jpg,traffic light,0.38,
2015-09-24_03-36-59_UTC.jpg,trailer truck,0.15,
2017-12-08_14-51-09_UTC.jpg,traffic light,0.14,
2018-08-27_17-48-01_UTC.jpg,Arabian camel,0.35,
2014-06-09_18-50-26_UTC.jpg,marimba,0.54,
2015-01-31_17-58-35_UTC.jpg,traffic light,0.58,
2015-01-17_21-32-19_UTC.jpg,marimba,0.71,
2014-12-04_16-06-03_UTC_styled_1.jpg,marimba,0.44,
2017-12-07_00-47-13_UTC.jpg,marimba,0.60,
2015-03-06_00-30-21_UTC.jpg,hand-held computer,0.58,
2015-09-19_02-54-49_UTC.jpg,trailer truck,0.45,
2015-10-28_21-41-08_UTC.jpg,shovel,0.19,
2014-11-30_17-43-12_UTC.jpg,marimba,0.57,
2015-01-01_23-40-14_UTC.jpg,sea urchin,0.22,
2018-10-19_01-49-59_UTC_2.jpg,traffic light,0.28,
2015-06-15_22-26-17_UTC.jpg,traffic light,0.54,
2014-05-16_13-50-39_UTC.jpg,marimba,0.63,
2014-11-22_23-02-42_UTC.jpg,whistle,0.44,
2015-01-18_05-31-28_UTC.jpg,bagel,0.13,
2014-11-11_04-09-43_UTC.jpg,traffic light,0.92,
2021-09-03_21-18-38_UTC.jpg,traffic light,0.21,
2014-06-29_06-07-02_UTC.jpg,speedboat,0.03,
2014-02-01_17-39-07_UTC.jpg,thatch,0.39,
2016-05-19_00-59-25_UTC.jpg,traffic light,0.37,
2015-05-10_23-54-29_UTC.jpg,vacuum,0.07,
2018-03-01_22-23-43_UTC.jpg,marimba,0.68,
2025-01-13_19-56-03_UTC.jpg,vault,0.12,
2015-10-22_02-45-06_UTC.jpg,hand-held computer,0.10,
2015-10-02_02-44-35_UTC.jpg,vending machine,0.31,
2014-06-03_14-26-05_UTC.jpg,dial telephone,0.53,
2015-04-12_17-57-28_UTC.jpg,sweatshirt,0.09,
2023-10-21_02-39-07_UTC_6.jpg,shower cap,0.20,
